,0,1,2,3,4,5,6
0,0.542,0.12,0.136,0.016,0.034,0.076,0.076
1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.982,0.01,0.002,0.002,0.0,0.004,0.0
3,0.972,0.002,0.01,0.002,0.006,0.008,0.0
4,0.994,0.0,0.002,0.0,0.0,0.004,0.0
5,0.992,0.0,0.0,0.0,0.0,0.008,0.0
6,0.982,0.004,0.004,0.004,0.0,0.004,0.002
7,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.994,0.0,0.002,0.0,0.0,0.004,0.0
9,0.992,0.0,0.0,0.0,0.0,0.008,0.0
10,0.94,0.012,0.022,0.006,0.004,0.008,0.008
11,0.922,0.004,0.024,0.016,0.002,0.022,0.01
12,0.956,0.0,0.0,0.004,0.006,0.026,0.008
13,0.948,0.002,0.006,0.008,0.016,0.016,0.004
14,0.89,0.018,0.022,0.016,0.004,0.024,0.026
15,0.988,0.0,0.002,0.002,0.002,0.006,0.0
16,0.986,0.0,0.006,0.002,0.004,0.0,0.002
17,0.992,0.0,0.004,0.002,0.0,0.002,0.0
18,0.988,0.002,0.006,0.0,0.002,0.0,0.002
19,0.938,0.016,0.01,0.002,0.006,0.024,0.004
20,0.708,0.194,0.016,0.012,0.026,0.026,0.018
21,0.994,0.002,0.0,0.002,0.0,0.002,0.0
22,0.924,0.044,0.002,0.0,0.008,0.004,0.018
23,0.744,0.008,0.028,0.058,0.028,0.098,0.036
24,0.988,0.002,0.002,0.004,0.002,0.0,0.002
25,0.944,0.012,0.006,0.006,0.016,0.01,0.006
26,1.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.964,0.012,0.008,0.002,0.004,0.004,0.006
28,1.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.992,0.002,0.0,0.0,0.004,0.002,0.0
30,0.958,0.012,0.002,0.004,0.01,0.01,0.004
31,0.994,0.004,0.0,0.0,0.0,0.002,0.0
32,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.994,0.002,0.002,0.0,0.002,0.0,0.0
34,0.982,0.0,0.0,0.0,0.002,0.014,0.002
35,0.996,0.0,0.0,0.002,0.002,0.0,0.0
36,0.99,0.004,0.004,0.0,0.002,0.0,0.0
37,0.998,0.002,0.0,0.0,0.0,0.0,0.0
38,0.996,0.0,0.0,0.0,0.002,0.002,0.0
39,0.97,0.0,0.0,0.002,0.002,0.002,0.024
40,0.87,0.056,0.016,0.004,0.022,0.02,0.012
41,0.986,0.006,0.004,0.0,0.0,0.004,0.0
42,0.994,0.0,0.0,0.0,0.002,0.0,0.004
43,0.996,0.0,0.0,0.002,0.002,0.0,0.0
44,1.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.954,0.0,0.036,0.002,0.0,0.008,0.0
46,0.966,0.006,0.0,0.002,0.016,0.008,0.002
47,0.972,0.006,0.0,0.002,0.006,0.008,0.006
48,0.942,0.006,0.002,0.01,0.008,0.012,0.02
49,0.96,0.002,0.006,0.006,0.002,0.02,0.004
50,0.958,0.018,0.01,0.004,0.002,0.008,0.0
51,0.99,0.002,0.002,0.002,0.0,0.002,0.002
52,0.994,0.0,0.0,0.002,0.002,0.002,0.0
53,0.896,0.038,0.006,0.038,0.004,0.016,0.002
54,0.888,0.02,0.008,0.008,0.006,0.06,0.01
55,0.666,0.024,0.148,0.026,0.038,0.072,0.026
