,0,1,2,3,4,5,6
0,0.992,0.002,0.002,0.0,0.0,0.004,0.0
1,0.98,0.004,0.0,0.006,0.002,0.002,0.006
2,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.704,0.02,0.028,0.088,0.034,0.1,0.026
4,0.522,0.054,0.084,0.042,0.016,0.162,0.12
5,0.446,0.096,0.07,0.054,0.042,0.164,0.128
6,0.98,0.004,0.01,0.002,0.002,0.002,0.0
7,0.836,0.034,0.044,0.018,0.006,0.04,0.022
8,0.97,0.002,0.01,0.002,0.006,0.0,0.01
9,0.998,0.0,0.002,0.0,0.0,0.0,0.0
10,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.988,0.008,0.002,0.0,0.0,0.0,0.002
12,0.98,0.002,0.002,0.006,0.002,0.004,0.004
13,0.996,0.0,0.0,0.0,0.0,0.002,0.002
14,0.988,0.004,0.004,0.002,0.0,0.002,0.0
15,0.996,0.0,0.0,0.0,0.002,0.002,0.0
16,0.99,0.0,0.0,0.0,0.0,0.004,0.006
17,0.904,0.046,0.022,0.006,0.002,0.006,0.014
18,0.964,0.01,0.012,0.004,0.0,0.008,0.002
19,0.996,0.0,0.004,0.0,0.0,0.0,0.0
20,0.992,0.0,0.002,0.0,0.002,0.004,0.0
21,0.688,0.032,0.094,0.01,0.008,0.094,0.074
22,0.858,0.01,0.036,0.016,0.004,0.044,0.032
23,0.84,0.062,0.022,0.006,0.0,0.048,0.022
24,0.854,0.09,0.002,0.026,0.006,0.004,0.018
25,0.908,0.014,0.024,0.008,0.01,0.022,0.014
26,0.806,0.098,0.048,0.006,0.0,0.016,0.026
27,0.846,0.032,0.05,0.012,0.016,0.018,0.026
28,0.944,0.024,0.016,0.004,0.004,0.004,0.004
29,0.974,0.014,0.002,0.002,0.002,0.002,0.004
30,0.576,0.028,0.086,0.044,0.036,0.098,0.132
31,0.954,0.012,0.02,0.0,0.002,0.004,0.008
32,0.864,0.006,0.036,0.028,0.004,0.04,0.022
33,0.95,0.014,0.006,0.004,0.0,0.002,0.024
34,0.992,0.0,0.006,0.002,0.0,0.0,0.0
35,0.874,0.086,0.016,0.01,0.002,0.006,0.006
36,0.988,0.002,0.006,0.002,0.0,0.0,0.002
37,1.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.988,0.0,0.008,0.002,0.002,0.0,0.0
39,0.998,0.0,0.002,0.0,0.0,0.0,0.0
40,0.986,0.0,0.01,0.0,0.0,0.002,0.002
41,0.79,0.012,0.078,0.018,0.002,0.052,0.048
42,0.974,0.008,0.014,0.002,0.0,0.0,0.002
43,0.968,0.012,0.006,0.004,0.006,0.0,0.004
44,0.988,0.002,0.002,0.0,0.002,0.0,0.006
45,0.55,0.35,0.01,0.026,0.024,0.01,0.03
46,0.994,0.0,0.002,0.002,0.0,0.0,0.002
47,0.91,0.054,0.002,0.002,0.01,0.002,0.02
48,0.668,0.006,0.04,0.056,0.016,0.158,0.056
49,0.998,0.0,0.0,0.0,0.002,0.0,0.0
50,0.554,0.054,0.078,0.078,0.058,0.118,0.06
51,0.826,0.028,0.036,0.014,0.004,0.044,0.048
52,0.966,0.004,0.012,0.004,0.0,0.008,0.006
53,0.804,0.064,0.038,0.02,0.012,0.028,0.034
54,0.914,0.014,0.032,0.002,0.002,0.008,0.028
55,0.908,0.03,0.0,0.004,0.014,0.04,0.004
56,0.74,0.004,0.086,0.036,0.006,0.086,0.042
57,0.996,0.0,0.002,0.0,0.0,0.0,0.002
58,0.986,0.002,0.004,0.0,0.002,0.004,0.002
59,0.988,0.002,0.004,0.0,0.002,0.0,0.004
60,0.992,0.0,0.0,0.0,0.0,0.008,0.0
61,0.954,0.01,0.01,0.002,0.0,0.022,0.002
62,0.994,0.002,0.0,0.002,0.0,0.0,0.002
63,0.992,0.0,0.002,0.0,0.0,0.006,0.0
64,0.996,0.0,0.002,0.0,0.0,0.002,0.0
65,0.724,0.004,0.066,0.048,0.012,0.094,0.052
66,1.0,0.0,0.0,0.0,0.0,0.0,0.0
67,0.508,0.03,0.062,0.062,0.052,0.218,0.068
68,0.99,0.0,0.0,0.004,0.002,0.004,0.0
69,0.95,0.01,0.008,0.004,0.002,0.018,0.008
70,0.998,0.0,0.0,0.0,0.0,0.0,0.002
71,0.992,0.002,0.002,0.002,0.0,0.0,0.002
72,1.0,0.0,0.0,0.0,0.0,0.0,0.0
73,0.988,0.0,0.0,0.004,0.0,0.004,0.004
74,0.962,0.01,0.002,0.0,0.006,0.002,0.018
75,0.996,0.0,0.002,0.0,0.002,0.0,0.0
76,0.76,0.052,0.052,0.02,0.016,0.046,0.054
77,1.0,0.0,0.0,0.0,0.0,0.0,0.0
